# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: /home/steven/github/StevenAerts/ftdi_morphic/quartus/ftdi_morphic_pins.csv
# Generated on: Mon Dec 11 03:34:31 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
io[55],Bidir,PIN_M14,3,B3_N1,PIN_A9,,,,
io[54],Bidir,PIN_N16,3,B3_N1,PIN_G10,,,,
io[53],Bidir,PIN_P15,3,B3_N1,PIN_B10,,,,
io[52],Bidir,PIN_P16,3,B3_N1,PIN_C5,,,,
io[51],Bidir,PIN_N14,3,B3_N1,PIN_T6,,,,
io[50],Bidir,PIN_R14,4,B4_N0,PIN_G11,,,,
io[49],Bidir,PIN_T14,4,B4_N0,PIN_L10,,,,
io[48],Bidir,PIN_R13,4,B4_N0,PIN_T14,,,,
io[47],Bidir,PIN_T13,4,B4_N0,PIN_G7,,,,
io[46],Bidir,PIN_R11,4,B4_N0,PIN_K4,,,,
io[45],Bidir,PIN_T10,4,B4_N0,PIN_F8,,,,
io[44],Bidir,PIN_R9,4,B4_N1,PIN_R9,,,,
io[43],Bidir,PIN_T9,4,B4_N1,PIN_L4,,,,
io[42],Bidir,PIN_L12,4,B4_N0,PIN_L11,,,,
io[41],Bidir,PIN_P13,4,B4_N0,PIN_A12,,,,
io[40],Bidir,PIN_N11,4,B4_N0,PIN_A10,,,,
io[39],Bidir,PIN_C13,2,B2_N0,PIN_T9,,,,
io[38],Bidir,PIN_C12,2,B2_N0,PIN_N12,,,,
io[37],Bidir,PIN_C11,2,B2_N0,PIN_D11,,,,
io[36],Bidir,PIN_F9,2,B2_N0,PIN_D15,,,,
io[35],Bidir,PIN_D8,2,B2_N1,PIN_T3,,,,
io[34],Bidir,PIN_E6,2,B2_N1,PIN_M16,,,,
io[33],Bidir,PIN_C5,2,B2_N1,PIN_A3,,,,
io[32],Bidir,PIN_D5,1,B1_N0,PIN_C11,,,,
io[31],Bidir,PIN_F6,2,B2_N1,PIN_A5,,,,
io[30],Bidir,PIN_G6,2,B2_N1,PIN_T11,,,,
io[29],Bidir,PIN_A9,2,B2_N0,PIN_P3,,,,
io[28],Bidir,PIN_G7,2,B2_N1,PIN_L12,,,,
io[27],Bidir,PIN_B7,2,B2_N1,PIN_J12,,,,
io[26],Bidir,PIN_A6,2,B2_N1,PIN_R13,,,,
io[25],Bidir,PIN_D6,2,B2_N1,PIN_D4,,,,
io[24],Bidir,PIN_A5,2,B2_N1,PIN_N9,,,,
io[23],Bidir,PIN_A3,2,B2_N1,PIN_C4,,,,
io[22],Bidir,PIN_A7,2,B2_N1,PIN_L15,,,,
io[21],Bidir,PIN_D4,1,B1_N0,PIN_B13,,,,
io[20],Bidir,PIN_E5,1,B1_N0,PIN_N8,,,,
io[19],Bidir,PIN_E3,1,B1_N0,PIN_T8,,,,
io[18],Bidir,PIN_E4,1,B1_N0,PIN_T7,,,,
io[17],Bidir,PIN_M11,4,B4_N0,PIN_R14,,,,
io[16],Bidir,PIN_L9,4,B4_N0,PIN_D8,,,,
io[15],Bidir,PIN_R8,4,B4_N1,PIN_H11,,,,
io[14],Bidir,PIN_N8,4,B4_N1,PIN_M12,,,,
io[13],Bidir,PIN_R7,4,B4_N1,PIN_R7,,,,
io[12],Bidir,PIN_K5,1,B1_N1,PIN_T4,,,,
io[11],Bidir,PIN_P5,4,B4_N1,PIN_K11,,,,
io[10],Bidir,PIN_K4,1,B1_N1,PIN_N10,,,,
io[9],Bidir,PIN_P4,4,B4_N1,PIN_B4,,,,
io[8],Bidir,PIN_M4,1,B1_N1,PIN_C6,,,,
io[7],Bidir,PIN_L4,1,B1_N1,PIN_A11,,,,
io[6],Bidir,PIN_L3,1,B1_N1,PIN_G6,,,,
io[5],Bidir,PIN_R3,4,B4_N1,PIN_P13,,,,
io[4],Bidir,PIN_T7,4,B4_N1,PIN_P11,,,,
io[3],Bidir,PIN_T4,4,B4_N1,PIN_A8,,,,
io[2],Bidir,PIN_C1,1,B1_N0,PIN_G12,,,,
io[1],Bidir,PIN_P11,4,B4_N0,PIN_K5,,,,
io[0],Bidir,PIN_K1,1,B1_N1,PIN_K1,,,,
mclk60,Input,PIN_J2,1,B1_N1,PIN_J2,,,,
mdata[7],Bidir,PIN_N1,1,B1_N1,PIN_N1,,,,
mdata[6],Bidir,PIN_N2,1,B1_N1,PIN_N2,,,,
mdata[5],Bidir,PIN_P1,1,B1_N1,PIN_P1,,,,
mdata[4],Bidir,PIN_P2,1,B1_N1,PIN_P2,,,,
mdata[3],Bidir,PIN_F3,1,B1_N0,PIN_F3,,,,
mdata[2],Bidir,PIN_D3,1,B1_N0,PIN_D3,,,,
mdata[1],Bidir,PIN_E1,1,B1_N0,PIN_E1,,,,
mdata[0],Bidir,PIN_E2,1,B1_N0,PIN_E2,,,,
moen,Output,PIN_K2,1,B1_N1,PIN_K2,,,,
mrdn,Output,PIN_L2,1,B1_N1,PIN_L2,,,,
mrxfn,Input,PIN_M2,1,B1_N1,PIN_M2,,,,
msndimm,Output,PIN_L1,1,B1_N1,PIN_L1,,,,
mtxen,Input,PIN_M1,1,B1_N1,PIN_M1,,,,
mwrn,Output,PIN_J4,1,B1_N1,PIN_J4,,,,
rst,Input,PIN_B3,2,B2_N1,PIN_B3,,,,
